,Species,Season,Inspected,Longitude,Latitude,Watered
205,MALUS SUGARTYME,Spring 2019,Yes,-71.1422099999,42.290000041,No
206,ACER RUBRUM OCT. GLORY,Spring 2019,Yes,-71.0586999997,42.2900900399,No
207,ULMUS CARPINIFOLIA 'ACCOLADE',Spring 2019,Yes,-71.1406700001,42.2902000402,No
208,ULMUS CARPINIFOLIA 'ACCOLADE',Spring 2019,Yes,-71.1406700001,42.2902000402,No
209,GLEDITSIA TRI. INERMIS HALKA,Fall 2018,Yes,-71.1625500004,42.2904200402,No
210,ACER TRUNCATUM 'NORWEGIAN SUNSET',Spring 2019,Yes,-71.16024452100001,42.2905929787,No
211,TILIA TOMENTOSA 'STERLING SILVER',Fall 2018,Yes,-71.1285799996,42.290720041,No
212,SYRINGA RETICULATA 'IVORY SILK',Spring 2019,Yes,-71.14005999999999,42.2907400398,No
213,ZELKOVA SERRATA 'VILLAGE GREEN',Spring 2019,Yes,-71.1160199996,42.2908900403,No
214,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.16643000020001,42.2909300402,No
215,SYRINGA RETICULATA 'IVORY SILK',Spring 2019,Yes,-71.1348600004,42.2910900413,No
216,GLEDITSIA TRI. INERMIS SKYLINE,Fall 2018,Yes,-71.1227702488,42.2911626702,No
217,ULMUS AMERICANA 'VALLEY FORGE',Fall 2018,Yes,-71.1227702488,42.2911626702,No
218,QUERCUS PALUSTRIS,Spring 2019,Yes,-71.0708100003,42.29128004,No
219,QUERCUS ACUTISSIMA,Spring 2019,Yes,-71.1391800004,42.2914700402,No
220,PRUNUS X YEDOENSIS,Spring 2019,Yes,-71.1591400001,42.2915300403,No
221,PRUNUS X YEDOENSIS,Fall 2018,Yes,-71.1290299998,42.2915400412,No
222,ACER GINNALA FLAME,Spring 2019,Yes,-71.1492819996,42.2918120403,No
223,LIQUIDAMBAR STYR. 'HAPPI DAZE',Spring 2019,Yes,-71.1531200004,42.2918600397,No
224,ACER GINNALA FLAME,Spring 2019,Yes,-71.1591600002,42.2921200398,No
225,QUERCUS BICOLOR,Spring 2019,Yes,-71.121769999,42.2921200398,No
226,QUERCUS ALBA,Spring 2019,Yes,-71.0756700001,42.2921500402,No
227,ULMUS CARPINIFOLIA 'ACCOLADE',Spring 2019,Yes,-71.0605600001,42.2921600397,No
228,ULMUS CARPINIFOLIA 'ACCOLADE',Spring 2019,Yes,-71.0605600001,42.2921600397,No
229,PRUNUS SUB AUTUMNALIS,Spring 2019,Yes,-71.1150999999,42.2921800413,No
230,ULMUS AMERICANA 'VALLEY FORGE',Fall 2018,Yes,-71.1221699999,42.2922800398,No
231,ZELKOVA SERRATA 'GREEN VASE',Fall 2018,Yes,-71.1161,42.2924600402,No
232,PYRUS CALLERYANA 'CHANTICLEER',Spring 2019,Yes,-71.0545899998,42.29261004,No
233,PRUNUS X YEDOENSIS,Spring 2019,Yes,-71.1347199998,42.2927700407,No
234,TILIA CORDATA 'GREEN SPIRE',Spring 2019,Yes,-71.1414599992,42.2928300402,No
235,QUERCUS PALUSTRIS,Spring 2019,Yes,-71.0630099997,42.2929200397,Yes
