OBJECTID,SITE_NAME,OWNERSHIP,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong
8306,Leo M. Birmingham Parkway,Commonwealth of Massachusetts,Allston-Brighton,6.98115238, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches"
8308,Rivermoor III,City of Boston,West Roxbury,0.50413773, ,Open Space District,Urban Wilds & Natural Areas
8311,Condor Street Overlook,City of Boston,East Boston,0.45,2 Condor Street,Open Space District,Urban Wilds & Natural Areas
8313,McCormack School Ball Field,City of Boston,Dorchester,1.4, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8316,Truman Parkway,Commonwealth of Massachusetts,Hyde Park,2.71476245, ,Industrial District,"Parkways, Reservations & Beaches"
8317,West Austin Rock,City of Boston,Hyde Park,0.3,216 West Street,Residential District,Urban Wilds & Natural Areas
8318,Arborway Overpass Path,Commonwealth of Massachusetts,Jamaica Plain,1.16375787, ,Open Space District,"Parkways, Reservations & Beaches"
8319,Franklin Park Zoo,City of Boston,Roxbury,63.82, ,Open Space District,"Parks, Playgrounds & Athletic Fields"
8320,Newland Street Park,City of Boston,South End,0.13833095,"97 West Concord;  Playlot Entrance, 90HF Newland Street",Open Space District,"Parks, Playgrounds & Athletic Fields"
8322,Zero Quinn Way,City of Boston,West Roxbury,0.03197035, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields"
8324,Bromley Heath Play Area,City of Boston,Jamaica Plain,0.82120332, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8325,Fenelon Street Playground,City of Boston,Roxbury,0.19, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8327,Stanley-Bellevue Park,City of Boston,Dorchester,0.35177328,23 Bellevue St,Residential District,"Parks, Playgrounds & Athletic Fields"
8328,Allandale Woods ROW,Private,West Roxbury,0.16, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas
8329,St Helena's Park,City of Boston,South End,0.17301401, ,Open Space District,"Parks, Playgrounds & Athletic Fields"
8330,Theresa Hynes Park,Private,Allston-Brighton,0.45342376,99 Chestnut Hill Avenue,Residential District,"Parks, Playgrounds & Athletic Fields"
8332,Eastport Park,Massport,South Boston,1.15,2 Seaport Lane,Special District,"Parks, Playgrounds & Athletic Fields"
8333,South Boston Maritime Park,Massport,South Boston,0.88,"Btwn Congress St, D St Extension & Northern Ave",Industrial District,"Parks, Playgrounds & Athletic Fields"
8334,Ernst Chery Jr. Playground,City of Boston,Mattapan,0.25, ,Residential District,"Parks, Playgrounds & Athletic Fields"
